ACCOUNT 帐户
FLOOR 地板
FLOWER 花
FLUTE 长笛
FLY 飞
FOAM 泡沫
FOG 多雾路段
FOLD 折
FOOD 餐饮
FOOT 脚丫子
FORCE 力
FOREST 森林
FORK 叉子
FORM 形成
FOWL 鸡
FRAME 帧
FRANCE 法国
FRICTION 摩擦
FRIEND 朋友
FROG 青蛙
FROGS 雾
FRONT 面前
FROST 霜
FRUIT 水果
FUEL 汽油
FURNITURE 家具类
GAME 游戏
GANGSTER 流氓
GARDEN 花园
GAS 加油站
GATE 门
GEAR 齿轮
GENIE 精灵
GENIUS 天才
GERMANY 德国
GHOST 鬼
GIANT 巨人
GIRAFFE 长颈鹿
GLACIER 冰川
GLASS 玻璃
GLASSES 眼镜
GLOVE 手套
GLUE 胶
GOAT 山羊
GOLD 金
GOLDFISH 金鱼
GOLDILOCKS 金块
GOLF 高尔夫球
GOOSE 鹅
GOVERNMENT 政府
GOVERNOR 总督
GRACE 恩典
GRADE 年级
GRAIN 粮食
GRAPE 葡萄
GRASS 草
GREECE 希腊
GREEN 绿色
GREENHOUSE 温室
GRIP 握
GROOM 马夫
GROUND 地面
GROUP 组
GROWTH 成长性
GUIDE 指南
GUITAR 吉他
GUM 胶
GUN 枪
GYMNAST 体操运动员
HAIR 头发
HAIRCUT 理发
HALL 大厅
HALLOWEEN 万圣节
HAM 火腿
HAMBURGER 汉堡包
HAMMER 锤子
HAND 手
HARBOR 港口
HARMONY 和谐
HAT 帽子
HATE 讨厌
HAWAII 夏威夷
HAWK 鹰
HEAD 头
HEALTH 健康
HEART 心
HEAT 热
HELICOPTER 直升机
HELMET 头盔
HELP 救命
HEN 母鸡
HERCULES 苦力
HIDE 隐藏
HILL 爬坡道
HIMALAYAS 喜马拉雅山
HISTORY 历史
HIT 击中
HOBBY 爱好
HOLE 孔
HOLIDAY 假日
HOLLYWOOD 好莱坞
HOME 家
HOMER 荷马
HONEY 蜜糖
HOOD 连帽
HOOK 钩
HOPE 希望
HORN 喇叭
HORSE 马
HORSESHOE 马蹄铁
HOSE 软管
HOSPITAL 医院
HOT 热
HOTEL 旅馆
HOUR 小时
HOUSE 屋
HUMOR 幽默
HYDRANT 消防栓
ICE 冰
ICELAND 冰岛
ICICLE 冰柱
IDEA 理念
IGLOO 伊格鲁
IMPULSE 冲动
INCOME 收入
INCREASE 增加
INDIA 印度
INDUSTRY 行业
INK 墨水
INSECT 昆虫
INSTRUMENT 仪器
INSURANCE 保险
INTEREST 利益
INVENTION 发明
IRON 铁
ISLAND 岛
IVORY 象牙
JACK 插口
JAIL 监狱
JAM 果酱
JAR 罐
JEANS 牛仔裤
JELLY 果冻
JELLYFISH 海蜇
JET 喷射
JEWEL 珠宝
JEWELER 珠宝商
JOAN 琼
JOCKEY 骑师
JOIN 加入
JOKE 玩笑
JOKER 小丑
JOURNEY 旅程
JUDGE 法官
JUICE 果汁
JUMP 跳
JUMPER 跳跳
JUPITER 木星
KANGAROO 袋鼠
KETCHUP 番茄酱
KETTLE 水壶
KEY 键
KICK 踢
KID 童装
KILT 短裙
KING 王
KISS 吻
KITCHEN 厨房
KITE 风筝
KITTEN 小猫
KIWI 奇异果
KNEE 膝盖
KNIFE 刀
KNIGHT 骑士
KNOT 结
KNOWLEDGE 知识
KUNG FU 功夫
LAB 实验室
LABORER 劳动者
LACE 花边
LADDER 阶梯
LADYBUG 瓢虫
LAKE 湖
LAMP 灯
LAND 土地
LANGUAGE 语言
LAP 拉普
LASER 激光
LAUGH 笑
LAUNDRY 洗衣房
LAWYER 律师
LEAD 铅
LEAF 叶
LEARNING 学习
LEATHER 皮革
LEG 腿
LEMON 柠檬
LEMONADE 柠檬汽水
LEPRECHAUN 妖精
LETTER 信件
LETTUCE 生菜
LEVEL 水平
LIBRARY 图书馆
LIFE 生活
LIFT 电梯
LIGHT 光
LIGHTNING 闪电
LIMIT 限制
LIMOUSINE 豪华轿车
LINE 线
LINEN 麻布
LINK 链接
LION 狮子
LIP 唇
LIQUID 液体
LIST 清单
LITTER 垃圾
LIZARD 蜥蜴
LOAF 面包
LOCH 湖
LOCK 锁
LOCKET 挂件
LOCUST 刺槐
LOG 日志
LONDON 伦敦
LOOK 看
LOSS 失利
LOVE 爱
LUCK 运气
LUMBERJACK 腰果
LUNCH 午餐
LUNCHROOM 小吃店
MACHINE 机
MAGAZINE 杂志
MAGIC 魔法
MAGICIAN 魔术师
MAID 女佣
MAIL 邮件
MAILBOX 邮箱
MAKEUP 补偿
MAMMOTH 长毛象
MANAGER 经理
MANICURE 修指甲
MAP 地图
MAPLE 枫
MARATHON 马拉松
MARBLE 大理石
MARCH 游行
MARK 标记
MARKET 市场
MASK 面具
MASS 大众
MATCH 比赛
MEAL 膳食
MEASURE 测量
MEAT 肉
MEDIC 医学
MEETING 会议
MEMORY 记忆
MERCURY 汞
MESS 信息系统
METAL 金属
METER 仪表
MEXICO 墨西哥
MICROSCOPE 显微镜
MICROWAVE 微波
MIDDLE 中间
MILE 英里
MILK 牛奶
MILL 磨
MILLIONAIRE 百万富翁
MIND 心神
MINE 矿
MINISTER 部长
MINOTAUR 米诺陶尔
MINT 薄荷
MINUTE 分钟
MIRROR 镜子
MISS 小姐
MISSILE 导弹
MIST 薄雾
MITTEN 手套
MODEL 模型
MOHAWK 莫霍克
MOLE 痣
MONEY 钱
MONKEY 猴
MONTH 月
MOON 月亮
MORNING 早上
MOSCOW 莫斯科
MOSES 摩西
MOSQUITO 蚊子
MOTHER 母亲
MOTION 运动
MOUNT 安装
MOUNTAIN 山
MOUNTIE 山地车
MOUSE 老鼠
MOUTH 口
MOVE 移动
MUD 泥
MUG 杯
MUMMY 木乃伊
MUSCLE 肌肉
MUSIC 音乐
MUSKETEER 麝香
MUSTARD 芥末
NAIL 钉
NAME 名称
NAPOLEON 拿破仑
NATION 国家
NECK 颈部
NEED 需要
NEEDLE 针
NERVE 神经
NESS 尼斯
NEST 巢
NET 净
NEW 新
NEWS 新闻
NEWTON 牛顿
NIGHT 晚
NINJA 忍者
NOAH 诺亚
NOISE 噪声
NORTH 北
NOSE 鼻子
NOTE 注意
NOTEBOOK 笔记本
NOTRE 诺特
NOVEL 小说
NUMBER 数
NURSE 护士
NUT 坚果
NYLON 尼龙
OASIS 绿洲
OATMEAL 麦片
OBSERVATION 观察
OCEAN 海洋
OCTOPUS 章鱼
OFFER 提供
OFFICE 办公室
OIL 油
OLIVE 橄榄
OLYMPUS 奥林巴斯
ONION 洋葱
OPERA 歌剧
OPERATION 操作方式
OPINION 意见
ORANGE 橙子
ORDER 订购
ORGAN 器官
ORGANIZATION 组织
ORNAMENT 装饰
OVEN 烤箱
OWL 猫头鹰
OWNER 所有者
PACIFIC 太平洋地区
PAD 垫
PADDLE 桨
PAGE 页
PAIN 疼痛
PAINT 涂料
PALM 棕榈
PAN 泛
PANCAKE 饼子
PANTS 裤子
PAPER 纸
PARACHUTE 降落伞
PARADE 游行
PARCEL 包
PARENT 父母
PARK 公园
PARROT 鹦鹉
PART 部分
PARTNER 伙伴
PARTY 派对
PASS 通过
PASSENGER 乘客
PASTE 糊
PATCH 补丁
PATIENT 患者
PAYMENT 付款
PEA 豌豆
PEACE 和平
PEACH 桃子
PEANUT 花生
PEAR 梨
PEARL 珍珠
PEN 钢笔
PENCIL 铅笔
PENGUIN 企鹅
PENNY 一分钱
PENTAGON 五角大楼
PEPPER 胡椒
PEST 害虫
PET 宠物
PEW 座位
PHOENIX 凤凰
PIANO 钢琴
PICKLE 泡菜
PICTURE 图片
PIE 馅饼
PIG 猪
PILLOW 枕头
PILOT 飞行员
PIN 销
PINE 松树
PIPE 管
PIRATE 海盗
PISTOL 手枪
PIT 坑
PITCH 沥青
PITCHER 投手
PIZZA 比萨
PLACE 地点
PLANE 飞机
PLANT 厂
PLANTATION 种植园
PLASTIC 塑料
PLATE 盘子
PLATYPUS 鸭嘴兽
PLAY 玩
PLAYGROUND 操场
PLEASURE 乐趣
PLOT 情节
PLOUGH 犁
POCKET 口袋
POINT 点
POISON 毒
POLE 极
POLICE 警察
POLISH 抛光
POLLUTION 污染
POLO 马球
POOL 泳池
POP 流行音乐
POPCORN 爆米花
PORT 港口
PORTER 搬运工
POSITION 位置
POST 开机自检
POT 锅
POTATO 土豆
POTTER 陶器
POUND 磅
POWDER 粉末
POWER 功率
PRESS 按
PRICE 价钱
PRINCESS 公主
PRINT 打印
PRISON 监狱
PROCESS 处理
PRODUCE 生产
PROFIT 利润
PROPERTY 属性
PROSE 散文
PROTEST 抗议
PULL 拉
PUMP 泵
PUMPKIN 南瓜
PUNISHMENT 惩罚
PUPIL 瞳孔
PUPPET 木偶
PURPOSE 目的
PURSE 钱包
PUSH 推
PYRAMID 金字塔
QUACK 嘎嘎
QUARTER 25美分硬币
QUARTZ 石英
QUEEN 女王
QUESTION 题
QUICKSAND 流沙
QUIET 安静
QUILL 鹅毛笔
QUILT 被子
QUIVER 颤动
RABBIT 兔子
RACKET 球拍
RADIO 无线电
RAIL 轨
RAILWAY 铁路
RAIN 雨
RAINBOW 彩虹
RAINSTORM 暴雨
RAKE 耙
RAM 内存
RANCH 牧场
RANGE 范围
RAT 鼠
RATE 率
RAY 射线
RAZOR 剃刀
REACTION 反应
READING 读
REASON 原因
RECEIPT 收据
RECESS 后备
RECORD 记录
REGRET 后悔
REINDEER 驯鹿
RELATION 关系
RELIGION 宗教
REPRESENTATIVE 代表
REQUEST 请求
RESPECT 尊重
REST 休息
REVOLUTION 革命
REWARD 奖励
RHYTHM 韵律
RICE 白饭
RIDDLE 谜语
RIFLE 步枪
RING 环
RIP RIP
RIVER 河
ROAD 路
ROBIN 罗宾
ROBOT 机器人
ROCK 岩
ROD 竿
RODEO 罗迪欧
ROLL 滚
ROME 罗马
ROOF 屋顶
ROOM 房间
ROOT 根
ROPE 绳
ROSE 玫瑰
ROULETTE 轮盘赌
ROUND 回合
ROUTE 路线
ROW 行
RUB 擦
RUBBER 橡胶
RULE 规则
RULER 统治者
RUN 跑
RUSSIA 俄国
RUST 锈
SACK 解雇
SADDLE 鞍
SAHARA 撒哈拉
SAIL 帆
SALAD 沙拉
SALOON 沙龙
SALSA 萨尔萨
SALT 盐
SAND 砂
SANTA 圣达
SATELLITE 卫星
SATURN 土星
SAW 锯
SCALE 规模
SCARECROW 稻草人
SCARF 围巾
SCENE 现场
SCENT 香味
SCHOOL 学校
SCIENCE 科学
SCIENTIST 科学家
SCISSORS 剪刀
SCORPION 蝎
SCRATCH 刮
SCREEN 屏幕
SCREW 拧
SCROLL 滚动
SCUBA 潜水
SEA 海
SEAL 密封
SEASHORE 海滨
SEAT 座位
SECOND 第二
SECRETARY 秘书
SEED 种子
SELECTION 选拔
SELF 自
SENSE 感
SERVANT 仆人
SERVER 服务器
SEX 性别
SHADE 阴影
SHADOW 阴影
SHAKE 摇
SHAKESPEARE 莎士比亚
SHAME 耻辱
SHAMPOO 洗头
SHAPE 形状
SHARK 鲨鱼
SHED 棚
SHEEP 羊
SHEET 片
SHELF 架
SHELL 贝壳
SHERLOCK 夏洛克
SHERWOOD 舍伍德
SHIP 船
SHIRT 衬衫
SHOCK 休克
SHOE 鞋子
SHOOT 射击
SHOP 店
SHORTS 短裤
SHOT 射击
SHOULDER 肩
SHOW 节目
SHOWER 淋浴
SIDE 侧
SIDEWALK 人行道
SIGN 标志
SILK 丝
SILVER 银
SINK 水槽
SISTER 妹妹
SIZE 尺寸
SKATE 滑冰
SKI 滑雪
SKIN 皮肤
SKIRT 短裙
SKULL 头骨
SKY 天空
SKYSCRAPER 摩天大楼
SLAVE 奴隶
SLED 雪橇
SLEEP 睡觉
SLEET 霰
SLING 吊索
SLIP 滑
SLIPPER 拖鞋
SLOPE 坡
SLOTH 懒惰
SLUG 子弹头
SMASH 粉碎
SMELL 闻
SMILE 微笑
SMOKE 抽烟
SMOOTHIE 顺滑
SMUGGLER 走私者
SNAIL 蜗牛
SNAKE 蛇
SNAP 快照
SNEEZE 喷嚏
SNOW 雪
SNOWMAN 雪人
SOAP 肥皂
SOCIETY 社会
SOCK 袜子
SODA 苏打
SOFA 沙发
SOLDIER 士兵
SOLO 独奏
SON 儿子
SONG 歌曲
SORT 分类
SOUL 灵魂
SOUND 声音
SOUP 汤
SPACE 空间
SPADE 铲
SPARK 火花
SPELL 拼写
SPHINX 菲尼克斯
SPIDER 蜘蛛
SPIKE 穗
SPINE 脊柱
SPIRIT 精神
SPONGE 海绵
SPOON 勺
SPOT 点
SPRAY 喷雾
SPRING 弹簧
SPY 间谍
SQUARE 广场
SQUASH 壁球
SQUIRREL 松鼠
STABLE 稳定
STADIUM 体育场
STAFF 员工
STAGE 阶段
STAMP 邮票
STAR 星
START 开始
STATE 州
STATEMENT 声明
STATION 站
STEAM 蒸汽
STEEL 钢
STEM 干
STEP 步
STETHOSCOPE 听诊器
STEW 炖
STICK 棒
STICKER 贴纸
STITCH 缝
STOCK 股票
STOCKING 袜
STOMACH 胃
STONE 结石
STOP 停
STORE 商店
STORM 风暴
STORY 故事
STOVE 火炉
ST.PATRICK 圣帕特里克
STRANGER 陌生人
STRAW 稻草
STREAM 流
STREET 街
STRETCH 伸展
STRIKE 罢工
STRING 串
STRUCTURE 结构体
SUB 潜艇
SUBSTANCE 物质
SUGAR 糖
SUGGESTION 建议
SUIT 适合
SUMMER 夏季
SUMO 相扑
SUN 太阳
SUPERHERO 超级英雄
SUPPORT 支持
SURPRISE 惊喜
SWAMP 沼泽
SWEAT 流汗
SWEATER 毛衣
SWIM 游泳
SWING 摇摆
SWITCH 开关
SWORD 剑
SYSTEM 系统
TABLE 表
TABLET 片剂
TAG 标签
TAIL 尾巴
TALK 谈论
TANK 坦克
TAP TAP
TASTE 味道
TATTOO 纹身
TAX 税
TEA 茶
TEACHER 老师
TEAM 球队
TEAR 眼泪
TEETH 牙齿
TELESCOPE 望远镜
TEMPER 脾气
TEMPLE 寺庙
TENT 帐篷
TERRITORY 领土
TEST 测试
TEXAS 得克萨斯州
TEXTURE 质地
THEATER 剧院
THEORY 理论
THIEF 贼
THING 事情
THOUGHT 思想
THREAD 线
THRILL 特里尔
THROAT 喉
THRONE 王座
THUMB 拇指
THUNDER 雷
TICK 蜱
TICKET 票
TIE 领带
TIGER 虎
TIME 时间
TIN 锡
TIP 小费
TITLE 标题
TOAD 蟾蜍
TOAST 吐司
TOE 脚趾
TOKYO 东京
TOMATO 番茄
TONGUE 舌
TOOTH 齿
TOOTHBRUSH 牙刷
TOOTHPASTE 牙膏
TOP 最佳
TORCH 火炬
TORNADO 龙卷风
TOUCH 触摸
TOWER 塔
TOWN 镇
TOY 玩具
TRACK 跟踪
TRADE 贸易
TRAIL 落后
TRAIN 培养
TRAMP 流浪汉
TRANSPORT 运输
TRAY 托盘
TREATMENT 治疗
TREE 树
TRIANGLE 三角形
TRICK 招
TRIP 旅行
TROLL 巡视
TROUBLE 麻烦
TRUCK 卡车
TRUNK 树干
TUB 管子
TUBE 管
TUNNEL 隧道
TURKEY 火鸡
TURN 转
TURTLE 龟
TUTU 图图
TUXEDO TUXEDO
TWIG 枝条
TWIST 捻
UMBRELLA 雨伞
UNCLE 叔叔
UNDERTAKER 承办单位
UNDERWEAR 内衣
UNICORN 独角兽
UNIT 单元
UNIVERITY 大学
VACATION 假期
VACUUM 真空
VALENTINE 瓦伦丁
VALUE 值
VAMPIRE 吸血鬼
VAN 厢式货车
VASE 花瓶
VEGETABLE 蔬菜
VEIL 面纱
VEIN 静脉
VENUS 金星
VERSE 诗
VESSEL 船只
VEST 背心
VET 兽医
VIEW 视图
VIKING 维京人
VIOLET 紫色
VIRUS 病毒
VISITOR 游客
VOICE 语音
VOLCANO 火山
VOLLEYBALL 排球
VOLUME 卷
VOYAGE 航程
WAGON 车皮
WAITRESS 侍应生
WAKE 唤醒
WALK 步行
WALL 壁
WALRUS 海象
WAR 战争
WASH 洗
WASHER 垫圈
WASHINGTON 华盛顿
WASTE 浪费
WATCH 看
WATER 水
WAVE 波
WAX 蜡
WAY 方式
WEALTH 财富
WEATHER 天气
WEB 网页
WEDDING 婚礼
WEEK 周
WEIGHT 重量
WELL 好
WEREWOLF 狼人
WHALE 鲸
WHEEL 轮
WHEELCHAIR 轮椅
WHIP 鞭子
WHISTLE 哨
WILDERNESS 荒野
WIND 风
WINDOW 窗口
WINE 葡萄酒
WING 翅膀
WINTER 冬季
WIRE 线
WISH 希望
WITCH 巫婆
WIZARD 向导
WOMAN 女人
WOMEN 女人
WONDERLAND 仙境
WOOD 木
WOOL 羊毛
WORD 字
WORK 工作
WORM 虫
WOUND 伤口
WREN 鹪
WRENCH 扳手
WRIST 腕
WRITER 作家
WRITING 写作
YAK AK牛
YAM 芋头
YARD 码
YARN 纱
YEAR 年
YELLOWSTONE 黄石
YOKE 轭
YORK 约克
ZEBRA 斑马
ZEPHYR 和风
ZINC 锌
ZIPPER 拉链
ZOMBIE 松比
ZOO动物园
